Date,Time(seconds),Detector Id,Flow,Occupancy,Density
10/26/2015,60120,K3D20,640,0.45444444,75.74074
10/26/2015,60300,K3D20,560,0.36500001,60.833335
10/26/2015,60480,K3D20,520,0.18000001,30.00000167
10/26/2015,60660,K3D20,760,0.13611111,22.685185
10/26/2015,60840,K3D20,640,0.30777779,51.29629833
10/26/2015,61020,K3D20,660,0.26555556,44.25926
10/26/2015,61200,K3D20,740,0.33944446,56.57407667
10/26/2015,61380,K3D20,560,0.19666667,32.77777833
10/26/2015,61560,K3D20,800,0.17277777,28.796295
10/26/2015,61740,K3D20,660,0.16111112,26.85185333
10/26/2015,61920,K3D20,740,0.20555556,34.25926
10/26/2015,62100,K3D20,680,0.32722223,54.53703833
10/26/2015,62280,K3D20,800,0.20777778,34.62963
10/26/2015,62460,K3D20,680,0.25999999,43.33333167
10/26/2015,62640,K3D20,820,0.13388889,22.314815
10/26/2015,62820,K3D20,560,0.083888888,13.98148133
10/26/2015,63000,K3D20,700,0.13277778,22.12963
10/26/2015,63180,K3D20,460,0.37388888,62.31481333
10/26/2015,63360,K3D20,600,0.37166667,61.944445
10/26/2015,63540,K3D20,760,0.24944444,41.57407333
10/26/2015,63720,K3D20,580,0.33277777,55.46296167
10/26/2015,63900,K3D20,560,0.58833331,98.05555167
10/26/2015,64080,K3D20,760,0.12055556,20.09259333
10/26/2015,64260,K3D20,640,0.14388889,23.98148167
10/26/2015,64440,K3D20,660,0.28333333,47.22222167
10/26/2015,64620,K3D20,620,0.39944443,66.57407167
10/26/2015,64800,K3D20,660,0.12833333,21.38888833
10/26/2015,64980,K3D20,600,0.14944445,24.90740833
10/26/2015,65160,K3D20,720,0.13611111,22.685185
10/26/2015,65340,K3D20,760,0.22777778,37.96296333
10/26/2015,65520,K3D20,740,0.46166667,76.944445
10/26/2015,65700,K3D20,640,0.4561111,76.01851667
10/26/2015,65880,K3D20,720,0.38555557,64.25926167
10/26/2015,66060,K3D20,520,0.55222225,92.03704167
10/26/2015,66240,K3D20,540,0.55833334,93.05555667
10/26/2015,66420,K3D20,500,0.39777777,66.296295
10/26/2015,66600,K3D20,600,0.14833333,24.72222167
10/26/2015,66780,K3D20,660,0.11888889,19.814815
10/26/2015,66960,K3D20,700,0.17,28.33333333
10/26/2015,67140,K3D20,660,0.10611111,17.685185
10/26/2015,67320,K3D20,720,0.13333334,22.22222333
10/26/2015,67500,K3D20,800,0.14,23.33333333
10/26/2015,67680,K3D20,540,0.074444443,12.40740717
10/26/2015,67860,K3D20,660,0.13500001,22.50000167
10/26/2015,68040,K3D20,620,0.075555556,12.59259267
10/26/2015,68220,K3D20,620,0.083333336,13.88888933
10/26/2015,68400,K3D20,600,0.081111111,13.5185185
